feature,importance,fold
CODE_GENDER,197,1
FLAG_OWN_CAR,11,1
FLAG_OWN_REALTY,24,1
CNT_CHILDREN,25,1
AMT_INCOME_TOTAL,212,1
AMT_CREDIT,394,1
AMT_ANNUITY,625,1
AMT_GOODS_PRICE,394,1
REGION_POPULATION_RELATIVE,396,1
DAYS_BIRTH,808,1
DAYS_EMPLOYED,557,1
DAYS_REGISTRATION,449,1
DAYS_ID_PUBLISH,545,1
OWN_CAR_AGE,315,1
FLAG_MOBIL,0,1
FLAG_EMP_PHONE,0,1
FLAG_WORK_PHONE,87,1
FLAG_CONT_MOBILE,0,1
FLAG_PHONE,46,1
FLAG_EMAIL,0,1
CNT_FAM_MEMBERS,19,1
REGION_RATING_CLIENT,42,1
REGION_RATING_CLIENT_W_CITY,111,1
HOUR_APPR_PROCESS_START,179,1
REG_REGION_NOT_LIVE_REGION,0,1
REG_REGION_NOT_WORK_REGION,0,1
LIVE_REGION_NOT_WORK_REGION,0,1
REG_CITY_NOT_LIVE_CITY,73,1
REG_CITY_NOT_WORK_CITY,5,1
LIVE_CITY_NOT_WORK_CITY,16,1
EXT_SOURCE_1,1109,1
EXT_SOURCE_2,995,1
EXT_SOURCE_3,1065,1
APARTMENTS_AVG,61,1
BASEMENTAREA_AVG,87,1
YEARS_BEGINEXPLUATATION_AVG,80,1
YEARS_BUILD_AVG,32,1
COMMONAREA_AVG,39,1
ELEVATORS_AVG,18,1
ENTRANCES_AVG,48,1
FLOORSMAX_AVG,44,1
FLOORSMIN_AVG,35,1
LANDAREA_AVG,93,1
LIVINGAPARTMENTS_AVG,44,1
LIVINGAREA_AVG,82,1
NONLIVINGAPARTMENTS_AVG,50,1
NONLIVINGAREA_AVG,50,1
APARTMENTS_MODE,91,1
BASEMENTAREA_MODE,65,1
YEARS_BEGINEXPLUATATION_MODE,94,1
YEARS_BUILD_MODE,43,1
COMMONAREA_MODE,40,1
ELEVATORS_MODE,21,1
ENTRANCES_MODE,19,1
FLOORSMAX_MODE,10,1
FLOORSMIN_MODE,19,1
LANDAREA_MODE,118,1
LIVINGAPARTMENTS_MODE,67,1
LIVINGAREA_MODE,62,1
NONLIVINGAPARTMENTS_MODE,8,1
NONLIVINGAREA_MODE,78,1
APARTMENTS_MEDI,84,1
BASEMENTAREA_MEDI,55,1
YEARS_BEGINEXPLUATATION_MEDI,99,1
YEARS_BUILD_MEDI,28,1
COMMONAREA_MEDI,43,1
ELEVATORS_MEDI,18,1
ENTRANCES_MEDI,30,1
FLOORSMAX_MEDI,6,1
FLOORSMIN_MEDI,9,1
LANDAREA_MEDI,65,1
LIVINGAPARTMENTS_MEDI,45,1
LIVINGAREA_MEDI,65,1
NONLIVINGAPARTMENTS_MEDI,14,1
NONLIVINGAREA_MEDI,53,1
TOTALAREA_MODE,198,1
OBS_30_CNT_SOCIAL_CIRCLE,115,1
DEF_30_CNT_SOCIAL_CIRCLE,80,1
OBS_60_CNT_SOCIAL_CIRCLE,63,1
DEF_60_CNT_SOCIAL_CIRCLE,48,1
DAYS_LAST_PHONE_CHANGE,354,1
FLAG_DOCUMENT_2,0,1
FLAG_DOCUMENT_3,91,1
FLAG_DOCUMENT_4,0,1
FLAG_DOCUMENT_5,0,1
FLAG_DOCUMENT_6,2,1
FLAG_DOCUMENT_7,0,1
FLAG_DOCUMENT_8,5,1
FLAG_DOCUMENT_9,0,1
FLAG_DOCUMENT_10,0,1
FLAG_DOCUMENT_11,0,1
FLAG_DOCUMENT_12,0,1
FLAG_DOCUMENT_13,0,1
FLAG_DOCUMENT_14,0,1
FLAG_DOCUMENT_15,0,1
FLAG_DOCUMENT_16,35,1
FLAG_DOCUMENT_17,0,1
FLAG_DOCUMENT_18,42,1
FLAG_DOCUMENT_19,0,1
FLAG_DOCUMENT_20,0,1
FLAG_DOCUMENT_21,0,1
AMT_REQ_CREDIT_BUREAU_HOUR,0,1
AMT_REQ_CREDIT_BUREAU_DAY,3,1
AMT_REQ_CREDIT_BUREAU_WEEK,14,1
AMT_REQ_CREDIT_BUREAU_MON,17,1
AMT_REQ_CREDIT_BUREAU_QRT,67,1
AMT_REQ_CREDIT_BUREAU_YEAR,48,1
NAME_CONTRACT_TYPE_Cash_loans,82,1
NAME_CONTRACT_TYPE_Revolving_loans,4,1
NAME_TYPE_SUITE_Children,1,1
NAME_TYPE_SUITE_Family,9,1
NAME_TYPE_SUITE_Group_of_people,0,1
NAME_TYPE_SUITE_Other_A,0,1
NAME_TYPE_SUITE_Other_B,11,1
NAME_TYPE_SUITE_Spouse__partner,9,1
NAME_TYPE_SUITE_Unaccompanied,15,1
NAME_INCOME_TYPE_Businessman,0,1
NAME_INCOME_TYPE_Commercial_associate,18,1
NAME_INCOME_TYPE_Maternity_leave,0,1
NAME_INCOME_TYPE_Pensioner,0,1
NAME_INCOME_TYPE_State_servant,44,1
NAME_INCOME_TYPE_Student,0,1
NAME_INCOME_TYPE_Unemployed,0,1
NAME_INCOME_TYPE_Working,51,1
NAME_EDUCATION_TYPE_Academic_degree,0,1
NAME_EDUCATION_TYPE_Higher_education,71,1
NAME_EDUCATION_TYPE_Incomplete_higher,11,1
NAME_EDUCATION_TYPE_Lower_secondary,10,1
NAME_EDUCATION_TYPE_Secondary___secondary_special,53,1
NAME_FAMILY_STATUS_Civil_marriage,2,1
NAME_FAMILY_STATUS_Married,145,1
NAME_FAMILY_STATUS_Separated,18,1
NAME_FAMILY_STATUS_Single___not_married,7,1
NAME_FAMILY_STATUS_Unknown,0,1
NAME_FAMILY_STATUS_Widow,9,1
NAME_HOUSING_TYPE_Co_op_apartment,0,1
NAME_HOUSING_TYPE_House___apartment,34,1
NAME_HOUSING_TYPE_Municipal_apartment,17,1
NAME_HOUSING_TYPE_Office_apartment,32,1
NAME_HOUSING_TYPE_Rented_apartment,10,1
NAME_HOUSING_TYPE_With_parents,2,1
OCCUPATION_TYPE_Accountants,13,1
OCCUPATION_TYPE_Cleaning_staff,0,1
OCCUPATION_TYPE_Cooking_staff,0,1
OCCUPATION_TYPE_Core_staff,43,1
OCCUPATION_TYPE_Drivers,32,1
OCCUPATION_TYPE_HR_staff,0,1
OCCUPATION_TYPE_High_skill_tech_staff,33,1
OCCUPATION_TYPE_IT_staff,0,1
OCCUPATION_TYPE_Laborers,11,1
OCCUPATION_TYPE_Low_skill_Laborers,3,1
OCCUPATION_TYPE_Managers,0,1
OCCUPATION_TYPE_Medicine_staff,21,1
OCCUPATION_TYPE_Private_service_staff,9,1
OCCUPATION_TYPE_Realty_agents,0,1
OCCUPATION_TYPE_Sales_staff,10,1
OCCUPATION_TYPE_Secretaries,0,1
OCCUPATION_TYPE_Security_staff,0,1
OCCUPATION_TYPE_Waiters_barmen_staff,8,1
WEEKDAY_APPR_PROCESS_START_FRIDAY,14,1
WEEKDAY_APPR_PROCESS_START_MONDAY,15,1
WEEKDAY_APPR_PROCESS_START_SATURDAY,11,1
WEEKDAY_APPR_PROCESS_START_SUNDAY,23,1
