feature,importance
NAME_CONTRACT_TYPE,66.4
FLAG_OWN_CAR,7.199999999999999
FLAG_OWN_REALTY,13.8
CNT_CHILDREN,13.8
AMT_INCOME_TOTAL,170.60000000000002
AMT_CREDIT,422.20000000000005
AMT_ANNUITY,383.40000000000003
AMT_GOODS_PRICE,346.8
REGION_POPULATION_RELATIVE,167.4
DAYS_BIRTH,424.4
DAYS_EMPLOYED,434.59999999999997
DAYS_REGISTRATION,258.0
DAYS_ID_PUBLISH,297.6
OWN_CAR_AGE,225.79999999999998
FLAG_MOBIL,0.0
FLAG_EMP_PHONE,0.0
FLAG_WORK_PHONE,37.2
FLAG_CONT_MOBILE,0.0
FLAG_PHONE,15.8
FLAG_EMAIL,6.4
CNT_FAM_MEMBERS,23.8
REGION_RATING_CLIENT,13.0
REGION_RATING_CLIENT_W_CITY,50.8
HOUR_APPR_PROCESS_START,98.80000000000001
REG_REGION_NOT_LIVE_REGION,4.0
REG_REGION_NOT_WORK_REGION,5.0
LIVE_REGION_NOT_WORK_REGION,3.4
REG_CITY_NOT_LIVE_CITY,28.0
REG_CITY_NOT_WORK_CITY,4.6
LIVE_CITY_NOT_WORK_CITY,4.6000000000000005
EXT_SOURCE_1,637.8000000000001
EXT_SOURCE_2,519.5999999999999
EXT_SOURCE_3,629.8
APARTMENTS_AVG,51.8
BASEMENTAREA_AVG,58.00000000000001
YEARS_BEGINEXPLUATATION_AVG,55.2
YEARS_BUILD_AVG,43.599999999999994
COMMONAREA_AVG,54.0
ELEVATORS_AVG,24.400000000000002
ENTRANCES_AVG,34.0
FLOORSMAX_AVG,35.400000000000006
FLOORSMIN_AVG,31.400000000000002
LANDAREA_AVG,62.8
LIVINGAPARTMENTS_AVG,42.4
LIVINGAREA_AVG,52.2
NONLIVINGAPARTMENTS_AVG,31.0
NONLIVINGAREA_AVG,68.0
APARTMENTS_MODE,71.4
BASEMENTAREA_MODE,68.0
YEARS_BEGINEXPLUATATION_MODE,59.0
YEARS_BUILD_MODE,36.4
COMMONAREA_MODE,57.0
ELEVATORS_MODE,13.0
ENTRANCES_MODE,22.6
FLOORSMAX_MODE,9.799999999999999
FLOORSMIN_MODE,16.6
LANDAREA_MODE,62.199999999999996
LIVINGAPARTMENTS_MODE,39.8
LIVINGAREA_MODE,55.199999999999996
NONLIVINGAPARTMENTS_MODE,20.2
NONLIVINGAREA_MODE,57.400000000000006
APARTMENTS_MEDI,32.199999999999996
BASEMENTAREA_MEDI,40.6
YEARS_BEGINEXPLUATATION_MEDI,40.8
YEARS_BUILD_MEDI,17.999999999999996
COMMONAREA_MEDI,23.4
ELEVATORS_MEDI,13.8
ENTRANCES_MEDI,12.600000000000001
FLOORSMAX_MEDI,10.799999999999999
FLOORSMIN_MEDI,5.4
LANDAREA_MEDI,33.8
LIVINGAPARTMENTS_MEDI,22.4
LIVINGAREA_MEDI,35.0
NONLIVINGAPARTMENTS_MEDI,9.8
NONLIVINGAREA_MEDI,35.4
TOTALAREA_MODE,94.80000000000001
OBS_30_CNT_SOCIAL_CIRCLE,55.8
DEF_30_CNT_SOCIAL_CIRCLE,41.0
OBS_60_CNT_SOCIAL_CIRCLE,39.400000000000006
DEF_60_CNT_SOCIAL_CIRCLE,38.4
DAYS_LAST_PHONE_CHANGE,275.8
FLAG_DOCUMENT_2,0.0
FLAG_DOCUMENT_3,48.2
FLAG_DOCUMENT_4,0.0
FLAG_DOCUMENT_5,3.2
FLAG_DOCUMENT_6,1.7999999999999998
FLAG_DOCUMENT_7,0.0
FLAG_DOCUMENT_8,3.9999999999999996
FLAG_DOCUMENT_9,0.6000000000000001
FLAG_DOCUMENT_10,0.0
FLAG_DOCUMENT_11,12.0
FLAG_DOCUMENT_12,0.0
FLAG_DOCUMENT_13,15.8
FLAG_DOCUMENT_14,8.4
FLAG_DOCUMENT_15,5.6
FLAG_DOCUMENT_16,25.0
FLAG_DOCUMENT_17,0.4
FLAG_DOCUMENT_18,22.000000000000004
FLAG_DOCUMENT_19,0.0
FLAG_DOCUMENT_20,0.0
FLAG_DOCUMENT_21,0.0
AMT_REQ_CREDIT_BUREAU_HOUR,2.4000000000000004
AMT_REQ_CREDIT_BUREAU_DAY,6.4
AMT_REQ_CREDIT_BUREAU_WEEK,16.4
AMT_REQ_CREDIT_BUREAU_MON,44.0
AMT_REQ_CREDIT_BUREAU_QRT,76.4
AMT_REQ_CREDIT_BUREAU_YEAR,119.0
CODE_GENDER_F,63.19999999999999
CODE_GENDER_M,37.8
NAME_TYPE_SUITE_Children,2.6
NAME_TYPE_SUITE_Family,7.6000000000000005
NAME_TYPE_SUITE_Group of people,0.2
NAME_TYPE_SUITE_Other_A,0.6000000000000001
NAME_TYPE_SUITE_Other_B,0.6000000000000001
"NAME_TYPE_SUITE_Spouse, partner",4.6
NAME_TYPE_SUITE_Unaccompanied,12.2
NAME_INCOME_TYPE_Businessman,0.0
NAME_INCOME_TYPE_Commercial associate,8.0
NAME_INCOME_TYPE_Pensioner,0.0
NAME_INCOME_TYPE_State servant,19.400000000000002
NAME_INCOME_TYPE_Student,0.0
NAME_INCOME_TYPE_Unemployed,1.8
NAME_INCOME_TYPE_Working,19.800000000000004
NAME_EDUCATION_TYPE_Academic degree,9.799999999999999
NAME_EDUCATION_TYPE_Higher education,65.39999999999999
NAME_EDUCATION_TYPE_Incomplete higher,8.0
NAME_EDUCATION_TYPE_Lower secondary,8.600000000000001
NAME_EDUCATION_TYPE_Secondary / secondary special,35.0
NAME_FAMILY_STATUS_Civil marriage,8.6
NAME_FAMILY_STATUS_Married,53.199999999999996
NAME_FAMILY_STATUS_Separated,6.4
NAME_FAMILY_STATUS_Single / not married,10.4
NAME_FAMILY_STATUS_Widow,10.600000000000001
NAME_HOUSING_TYPE_Co-op apartment,0.2
NAME_HOUSING_TYPE_House / apartment,17.2
NAME_HOUSING_TYPE_Municipal apartment,10.599999999999998
NAME_HOUSING_TYPE_Office apartment,8.6
NAME_HOUSING_TYPE_Rented apartment,3.2
NAME_HOUSING_TYPE_With parents,4.2
OCCUPATION_TYPE_Accountants,12.200000000000001
OCCUPATION_TYPE_Cleaning staff,5.200000000000001
OCCUPATION_TYPE_Cooking staff,1.7999999999999998
OCCUPATION_TYPE_Core staff,26.2
OCCUPATION_TYPE_Drivers,16.4
OCCUPATION_TYPE_HR staff,0.2
OCCUPATION_TYPE_High skill tech staff,12.2
OCCUPATION_TYPE_IT staff,0.8
OCCUPATION_TYPE_Laborers,12.600000000000001
OCCUPATION_TYPE_Low-skill Laborers,7.000000000000001
OCCUPATION_TYPE_Managers,4.6
OCCUPATION_TYPE_Medicine staff,8.4
OCCUPATION_TYPE_Private service staff,1.6
OCCUPATION_TYPE_Realty agents,0.4
OCCUPATION_TYPE_Sales staff,7.199999999999999
OCCUPATION_TYPE_Secretaries,1.0
OCCUPATION_TYPE_Security staff,5.000000000000001
OCCUPATION_TYPE_Waiters/barmen staff,1.2
WEEKDAY_APPR_PROCESS_START_FRIDAY,6.199999999999999
WEEKDAY_APPR_PROCESS_START_MONDAY,12.999999999999998
WEEKDAY_APPR_PROCESS_START_SATURDAY,15.6
WEEKDAY_APPR_PROCESS_START_SUNDAY,9.399999999999999
WEEKDAY_APPR_PROCESS_START_THURSDAY,7.6
WEEKDAY_APPR_PROCESS_START_TUESDAY,9.399999999999999
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,11.8
ORGANIZATION_TYPE_Advertising,0.2
ORGANIZATION_TYPE_Agriculture,1.7999999999999998
ORGANIZATION_TYPE_Bank,11.6
ORGANIZATION_TYPE_Business Entity Type 1,3.0
ORGANIZATION_TYPE_Business Entity Type 2,3.4000000000000004
ORGANIZATION_TYPE_Business Entity Type 3,10.600000000000001
ORGANIZATION_TYPE_Cleaning,0.0
ORGANIZATION_TYPE_Construction,19.800000000000004
ORGANIZATION_TYPE_Culture,1.0
ORGANIZATION_TYPE_Electricity,0.6
ORGANIZATION_TYPE_Emergency,0.0
ORGANIZATION_TYPE_Government,7.200000000000001
ORGANIZATION_TYPE_Hotel,4.800000000000001
ORGANIZATION_TYPE_Housing,1.2000000000000002
ORGANIZATION_TYPE_Industry: type 1,1.0
ORGANIZATION_TYPE_Industry: type 10,0.0
ORGANIZATION_TYPE_Industry: type 11,0.8
ORGANIZATION_TYPE_Industry: type 12,3.4
ORGANIZATION_TYPE_Industry: type 13,0.0
ORGANIZATION_TYPE_Industry: type 2,1.0
ORGANIZATION_TYPE_Industry: type 3,0.4
ORGANIZATION_TYPE_Industry: type 4,0.4
ORGANIZATION_TYPE_Industry: type 5,0.4
ORGANIZATION_TYPE_Industry: type 6,0.0
ORGANIZATION_TYPE_Industry: type 7,0.6000000000000001
ORGANIZATION_TYPE_Industry: type 8,0.0
ORGANIZATION_TYPE_Industry: type 9,21.0
ORGANIZATION_TYPE_Insurance,1.2000000000000002
ORGANIZATION_TYPE_Kindergarten,6.199999999999999
ORGANIZATION_TYPE_Legal Services,1.6
ORGANIZATION_TYPE_Medicine,6.2
ORGANIZATION_TYPE_Military,20.0
ORGANIZATION_TYPE_Mobile,0.0
ORGANIZATION_TYPE_Other,4.2
ORGANIZATION_TYPE_Police,8.6
ORGANIZATION_TYPE_Postal,2.2
ORGANIZATION_TYPE_Realtor,12.8
ORGANIZATION_TYPE_Religion,0.0
ORGANIZATION_TYPE_Restaurant,2.4
ORGANIZATION_TYPE_School,15.0
ORGANIZATION_TYPE_Security,2.8000000000000003
ORGANIZATION_TYPE_Security Ministries,13.0
ORGANIZATION_TYPE_Self-employed,19.6
ORGANIZATION_TYPE_Services,2.5999999999999996
ORGANIZATION_TYPE_Telecom,2.0
ORGANIZATION_TYPE_Trade: type 1,0.4
ORGANIZATION_TYPE_Trade: type 2,10.6
ORGANIZATION_TYPE_Trade: type 3,1.0
ORGANIZATION_TYPE_Trade: type 4,1.0
ORGANIZATION_TYPE_Trade: type 5,0.0
ORGANIZATION_TYPE_Trade: type 6,2.8
ORGANIZATION_TYPE_Trade: type 7,1.2000000000000002
ORGANIZATION_TYPE_Transport: type 1,0.4
ORGANIZATION_TYPE_Transport: type 2,2.1999999999999997
ORGANIZATION_TYPE_Transport: type 3,17.4
ORGANIZATION_TYPE_Transport: type 4,3.4
ORGANIZATION_TYPE_University,2.4
ORGANIZATION_TYPE_XNA,0.0
FONDKAPREMONT_MODE_not specified,3.8
FONDKAPREMONT_MODE_org spec account,4.2
FONDKAPREMONT_MODE_reg oper account,2.0
FONDKAPREMONT_MODE_reg oper spec account,4.8
HOUSETYPE_MODE_block of flats,0.2
HOUSETYPE_MODE_specific housing,1.2000000000000002
HOUSETYPE_MODE_terraced house,0.8
WALLSMATERIAL_MODE_Block,3.0
WALLSMATERIAL_MODE_Mixed,0.4
WALLSMATERIAL_MODE_Monolithic,0.4
WALLSMATERIAL_MODE_Others,1.2000000000000002
WALLSMATERIAL_MODE_Panel,9.2
"WALLSMATERIAL_MODE_Stone, brick",12.6
WALLSMATERIAL_MODE_Wooden,1.6
EMERGENCYSTATE_MODE_No,1.0
EMERGENCYSTATE_MODE_Yes,0.6000000000000001
DAYS_EMPLOYED_ANOM,0.0
