feature,importance,fold
CODE_GENDER,183,1
FLAG_OWN_CAR,4,1
FLAG_OWN_REALTY,22,1
CNT_CHILDREN,13,1
AMT_INCOME_TOTAL,174,1
AMT_CREDIT,318,1
AMT_ANNUITY,522,1
AMT_GOODS_PRICE,331,1
REGION_POPULATION_RELATIVE,340,1
DAYS_BIRTH,753,1
DAYS_EMPLOYED,536,1
DAYS_REGISTRATION,344,1
DAYS_ID_PUBLISH,440,1
OWN_CAR_AGE,280,1
FLAG_MOBIL,0,1
FLAG_EMP_PHONE,0,1
FLAG_WORK_PHONE,86,1
FLAG_CONT_MOBILE,0,1
FLAG_PHONE,44,1
FLAG_EMAIL,1,1
CNT_FAM_MEMBERS,18,1
REGION_RATING_CLIENT,20,1
REGION_RATING_CLIENT_W_CITY,109,1
HOUR_APPR_PROCESS_START,114,1
REG_REGION_NOT_LIVE_REGION,2,1
REG_REGION_NOT_WORK_REGION,1,1
LIVE_REGION_NOT_WORK_REGION,7,1
REG_CITY_NOT_LIVE_CITY,63,1
REG_CITY_NOT_WORK_CITY,2,1
LIVE_CITY_NOT_WORK_CITY,16,1
EXT_SOURCE_1,1030,1
EXT_SOURCE_2,892,1
EXT_SOURCE_3,1025,1
APARTMENTS_AVG,55,1
BASEMENTAREA_AVG,51,1
YEARS_BEGINEXPLUATATION_AVG,67,1
YEARS_BUILD_AVG,20,1
COMMONAREA_AVG,30,1
ELEVATORS_AVG,22,1
ENTRANCES_AVG,44,1
FLOORSMAX_AVG,28,1
FLOORSMIN_AVG,18,1
LANDAREA_AVG,78,1
LIVINGAPARTMENTS_AVG,48,1
LIVINGAREA_AVG,41,1
NONLIVINGAPARTMENTS_AVG,25,1
NONLIVINGAREA_AVG,37,1
APARTMENTS_MODE,63,1
BASEMENTAREA_MODE,47,1
YEARS_BEGINEXPLUATATION_MODE,89,1
YEARS_BUILD_MODE,35,1
COMMONAREA_MODE,33,1
ELEVATORS_MODE,19,1
ENTRANCES_MODE,13,1
FLOORSMAX_MODE,8,1
FLOORSMIN_MODE,16,1
LANDAREA_MODE,76,1
LIVINGAPARTMENTS_MODE,46,1
LIVINGAREA_MODE,45,1
NONLIVINGAPARTMENTS_MODE,3,1
NONLIVINGAREA_MODE,66,1
APARTMENTS_MEDI,47,1
BASEMENTAREA_MEDI,47,1
YEARS_BEGINEXPLUATATION_MEDI,79,1
YEARS_BUILD_MEDI,26,1
COMMONAREA_MEDI,34,1
ELEVATORS_MEDI,10,1
ENTRANCES_MEDI,18,1
FLOORSMAX_MEDI,14,1
FLOORSMIN_MEDI,6,1
LANDAREA_MEDI,59,1
LIVINGAPARTMENTS_MEDI,47,1
LIVINGAREA_MEDI,50,1
NONLIVINGAPARTMENTS_MEDI,6,1
NONLIVINGAREA_MEDI,38,1
TOTALAREA_MODE,132,1
OBS_30_CNT_SOCIAL_CIRCLE,70,1
DEF_30_CNT_SOCIAL_CIRCLE,90,1
OBS_60_CNT_SOCIAL_CIRCLE,64,1
DEF_60_CNT_SOCIAL_CIRCLE,46,1
DAYS_LAST_PHONE_CHANGE,288,1
FLAG_DOCUMENT_2,0,1
FLAG_DOCUMENT_3,78,1
FLAG_DOCUMENT_4,0,1
FLAG_DOCUMENT_5,0,1
FLAG_DOCUMENT_6,2,1
FLAG_DOCUMENT_7,0,1
FLAG_DOCUMENT_8,6,1
FLAG_DOCUMENT_9,0,1
FLAG_DOCUMENT_10,0,1
FLAG_DOCUMENT_11,3,1
FLAG_DOCUMENT_12,0,1
FLAG_DOCUMENT_13,0,1
FLAG_DOCUMENT_14,0,1
FLAG_DOCUMENT_15,0,1
FLAG_DOCUMENT_16,34,1
FLAG_DOCUMENT_17,0,1
FLAG_DOCUMENT_18,33,1
FLAG_DOCUMENT_19,0,1
FLAG_DOCUMENT_20,0,1
FLAG_DOCUMENT_21,0,1
AMT_REQ_CREDIT_BUREAU_HOUR,0,1
AMT_REQ_CREDIT_BUREAU_DAY,9,1
AMT_REQ_CREDIT_BUREAU_WEEK,15,1
AMT_REQ_CREDIT_BUREAU_MON,13,1
AMT_REQ_CREDIT_BUREAU_QRT,58,1
AMT_REQ_CREDIT_BUREAU_YEAR,46,1
NAME_CONTRACT_TYPE_Cash_loans,89,1
NAME_CONTRACT_TYPE_Revolving_loans,3,1
NAME_TYPE_SUITE_Children,0,1
NAME_TYPE_SUITE_Family,2,1
NAME_TYPE_SUITE_Group_of_people,0,1
NAME_TYPE_SUITE_Other_A,0,1
NAME_TYPE_SUITE_Other_B,9,1
NAME_TYPE_SUITE_Spouse__partner,7,1
NAME_TYPE_SUITE_Unaccompanied,11,1
NAME_INCOME_TYPE_Businessman,0,1
NAME_INCOME_TYPE_Commercial_associate,16,1
NAME_INCOME_TYPE_Maternity_leave,0,1
NAME_INCOME_TYPE_Pensioner,0,1
NAME_INCOME_TYPE_State_servant,36,1
NAME_INCOME_TYPE_Student,0,1
NAME_INCOME_TYPE_Unemployed,0,1
NAME_INCOME_TYPE_Working,34,1
NAME_EDUCATION_TYPE_Academic_degree,0,1
NAME_EDUCATION_TYPE_Higher_education,78,1
NAME_EDUCATION_TYPE_Incomplete_higher,16,1
NAME_EDUCATION_TYPE_Lower_secondary,12,1
NAME_EDUCATION_TYPE_Secondary___secondary_special,51,1
NAME_FAMILY_STATUS_Civil_marriage,1,1
NAME_FAMILY_STATUS_Married,144,1
NAME_FAMILY_STATUS_Separated,3,1
NAME_FAMILY_STATUS_Single___not_married,9,1
NAME_FAMILY_STATUS_Unknown,0,1
NAME_FAMILY_STATUS_Widow,6,1
NAME_HOUSING_TYPE_Co_op_apartment,0,1
NAME_HOUSING_TYPE_House___apartment,21,1
NAME_HOUSING_TYPE_Municipal_apartment,10,1
NAME_HOUSING_TYPE_Office_apartment,28,1
NAME_HOUSING_TYPE_Rented_apartment,0,1
NAME_HOUSING_TYPE_With_parents,6,1
OCCUPATION_TYPE_Accountants,17,1
